NaN,-86,NaN,NaN,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
-85,-86,-84,-86,-82,NaN,NaN,NaN,NaN,NaN,NaN,-96,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-87,-86,-83,-84,-86,NaN,NaN,-94,NaN,NaN,NaN,-96,1
NaN,NaN,-83,NaN,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
-87,-86,-83,NaN,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
-85,-85,-84,-84,-83,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-84,-84,-85,NaN,NaN,NaN,-91,NaN,NaN,NaN,NaN,1
NaN,-86,-85,-84,-82,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,-84,-96,NaN,-91,NaN,NaN,NaN,NaN,1
NaN,NaN,-83,-84,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-86,-85,NaN,-85,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-85,-84,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-83,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-97,1
-88,NaN,-83,-80,NaN,-84,NaN,NaN,NaN,NaN,-91,NaN,2
-87,NaN,-88,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-86,-88,NaN,-80,NaN,-84,-89,NaN,NaN,NaN,NaN,NaN,2
NaN,NaN,NaN,-82,-85,-93,NaN,NaN,-92,NaN,NaN,NaN,2
-87,-88,-78,-92,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,2
NaN,NaN,-89,-76,NaN,-86,NaN,-92,NaN,NaN,NaN,NaN,2
NaN,NaN,NaN,-83,NaN,-90,NaN,NaN,NaN,NaN,NaN,NaN,2
NaN,-91,NaN,NaN,-89,-86,NaN,-96,NaN,NaN,NaN,NaN,2
-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
