-74,-81,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,-95,NaN,1
-74,-81,NaN,NaN,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,-87,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-87,-84,-87,NaN,-90,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-87,-84,NaN,NaN,-90,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-84,-82,-86,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,-86,-82,-83,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,-81,-82,-83,-83,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,-81,NaN,NaN,-83,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,-83,NaN,NaN,-84,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
-84,-87,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-84,-87,-82,NaN,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,NaN,-82,-84,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,NaN,-83,-84,NaN,-87,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-83,-85,-84,-87,NaN,NaN,NaN,NaN,NaN,NaN,1
-86,NaN,NaN,-84,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-86,NaN,-82,-84,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-82,-83,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,-83,-82,NaN,NaN,-89,NaN,NaN,NaN,NaN,1
-87,NaN,-84,NaN,NaN,NaN,NaN,-89,NaN,NaN,NaN,NaN,1
-87,-85,-84,-83,-86,NaN,NaN,-90,NaN,NaN,NaN,-93,1
NaN,-92,-84,-83,-84,NaN,NaN,-90,NaN,NaN,NaN,-93,1
NaN,-92,-83,-84,-86,-88,NaN,-95,NaN,NaN,NaN,NaN,1
NaN,NaN,-83,-84,-86,-88,NaN,-93,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,-84,NaN,NaN,NaN,-93,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,-84,NaN,NaN,NaN,-91,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,-84,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,-84,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,NaN,-85,NaN,-95,NaN,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,NaN,-85,NaN,-95,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-83,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-83,-84,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-84,-84,-84,NaN,-89,NaN,-95,NaN,NaN,NaN,NaN,1
NaN,-84,-84,-84,-84,-89,NaN,-95,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,NaN,-88,-89,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,NaN,-83,-89,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,-92,-85,-89,NaN,-93,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,-92,-85,-89,NaN,-93,NaN,NaN,NaN,NaN,1
NaN,NaN,-85,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-87,-85,-85,-86,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-87,-85,-84,-86,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-87,NaN,-93,-88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-86,-85,NaN,-93,-88,NaN,NaN,-92,NaN,NaN,NaN,-93,1
-86,-86,NaN,NaN,NaN,NaN,NaN,-92,NaN,NaN,NaN,-93,1
NaN,-85,NaN,NaN,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-85,NaN,NaN,-84,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,-86,NaN,-92,-84,-90,NaN,-93,NaN,NaN,NaN,NaN,1
-86,-86,NaN,-92,-84,-90,NaN,-93,NaN,NaN,NaN,NaN,1
-86,-86,NaN,-84,-82,-89,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-86,NaN,-83,-82,-89,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-84,-84,-85,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,-84,-84,-85,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,-84,NaN,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,1
NaN,-85,-84,-88,-85,NaN,NaN,-94,NaN,NaN,NaN,NaN,1
-86,-85,-83,-84,-83,NaN,NaN,-94,NaN,NaN,NaN,NaN,1
-86,NaN,-85,-84,-83,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,NaN,-85,NaN,-83,NaN,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-87,-83,-85,NaN,-89,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-87,-83,-85,NaN,-89,NaN,-92,NaN,NaN,NaN,NaN,1
NaN,-85,-83,-85,-88,-89,NaN,-94,NaN,NaN,NaN,NaN,1
